"";"DATE";"HDenomination";"HMotifs";"CEDenominationsMotifs";"NormCEDenominationsMotifs";"CEMotifsDenominations";"NormCEMotifsDenominations";"MI"
"Tyre";370;0;0;0;NA;0;NA;0
"Zacynthus";370;0;0;0;NA;0;NA;0
"Aegina";415;0;0;0;NA;0;NA;0
"Agyrium";390;0;0;0;NA;0;NA;0
"Alexandria Troas ";390;0;0;0;NA;0;NA;0
"Aradus";390;0;0;0;NA;0;NA;0
"Boeotia";390;0;0;0;NA;0;NA;0
"Campania ";405;0;0;0;NA;0;NA;0
"Cebren";390;0;0;0;NA;0;NA;0
"Chalcidice";415;0;0;0;NA;0;NA;0
"Chios";390;0;0;0;NA;0;NA;0
"Crete ";415;0;0;0;NA;0;NA;0
"Cyrene";405;0;0;0;NA;0;NA;0
"Dardanus";390;0;0;0;NA;0;NA;0
"Hyria";415;0;0;0;NA;0;NA;0
"Mallus";390;0;0;0;NA;0;NA;0
"Mycalessus";390;0;0;0;NA;0;NA;0
"Nola";390;0;0,693147180559945;0;NA;0,693147180559945;1;0
"Orchomenus";390;0,693147180559945;0;0,693147180559945;1;0;NA;0
"Pamphylia ";390;0;0;0;NA;0;NA;0
"Pharae";390;0;0;0;NA;0;NA;0
"Tanagra";390;0;0;0;NA;0;NA;0
"Tenedos";390;0,693147180559945;0,693147180559945;0;0;0;0;0,693147180559945
"Teuthrania";390;0;0;0;NA;0;NA;0
"Thracian Chersonese ";390;0;0;0;NA;0;NA;0
"Amisus";405;0;0;0;NA;0;NA;0
"Antandrus";405;0;0;0;NA;0;NA;0
"Bithynia ";405;0;0;0;NA;0;NA;0
"Boeotian League ";405;1,79175946922805;1,12692879480068;1,01140426470735;0,564475467872424;0,346573590279973;0,307538144272259;0,780355204520703
"Bruttium ";405;0;0;0;NA;0;NA;0
"Colchis";405;0,693147180559945;0,693147180559945;0;0;0;0;0,693147180559945
"Cumae";415;0;1,03972077083992;0;NA;1,03972077083992;1;0
"Delphi";415;0;0,693147180559945;0;NA;0,693147180559945;1;0
"Mesembria";415;0;0;0;NA;0;NA;0
"Methymna";405;0;0;0;NA;0;NA;0
"Pheneos";405;0;0;0;NA;0;NA;0
"Propontis ";405;0;0;0;NA;0;NA;0
"Rhegium";405;1,05492016798614;1,33217904021012;0;0;0,277258872223978;0,208124331531478;1,05492016798614
"Sinde";405;0;0;0;NA;0;NA;0
"Soli";405;0;0;0;NA;0;NA;0
"Allifae";415;0;0;0;NA;0;NA;0
"Camarina";415;1,56071040904141;1,90728399932138;0,346573590279972;0,222061433224399;0,693147180559945;0,363421064092484;1,21413681876143
"Catana";415;1,27985422583367;2,16395565688206;0;0;0,884101431048389;0,408558016536369;1,27985422583367
"Eion";415;0;0;0;NA;0;NA;0
"Eryx";415;0,636514168294813;1,09861228866811;0;0;0,462098120373297;0,420619835714305;0,636514168294813
"Gela";415;0,803314976140875;2,21106887114461;0;0;1,40775389500373;0,636684778740058;0,803314976140875
"Heraclea Lucania";415;1,01140426470735;1,56071040904141;0;0;0,549306144334055;0,351959044517067;1,01140426470735
"Heraclea Sintica";415;0;0;0;NA;0;NA;0
"Himera";415;0,600166073159646;1,89378823239114;0;0;1,29362215923149;0,68308701950172;0,600166073159646
"Leontinoi";415;0;0;0;NA;0;NA;0
"Lipara";415;0;0;0;NA;0;NA;0
"Magnesia Ad Maeandrum ";415;0;0;0;NA;0;NA;0
"Miletus";415;0;0;0;NA;0;NA;0
"Motya";415;1,242453324894;1,79175946922805;0;0;0,549306144334055;0,306573596382729;1,242453324894
"Naxos";415;1,03972077083992;1,38629436111989;0;0;0,346573590279973;0,25;1,03972077083992
"Nymphaeum";415;0,693147180559945;0;0,693147180559945;1;0;NA;0
"Panormus";415;0,562335144618808;1,03972077083992;0;0;0,47738562622111;0,459147917027245;0,562335144618808
"Pharsalus";415;0;0,636514168294813;0;NA;0,636514168294813;1;0
"Phistelia";415;0,636514168294813;1,09861228866811;0;0;0,462098120373297;0,420619835714305;0,636514168294813
"Sardes";415;0,693147180559945;0,693147180559945;0;0;0;0;0,693147180559945
"Scione";415;0;0;0;NA;0;NA;0
"Segesta";415;1,11874333598575;2,36938211969468;0;0;1,25063878370892;0,52783330021503;1,11874333598575
"Selinus";415;0,693147180559945;0;0,693147180559945;1;0;NA;0
"Seuthes II";415;0;0;0;NA;0;NA;0
"Tauric Chersonesus ";415;0;0;0;NA;0;NA;0
"The Sindi";415;0,636514168294813;0,636514168294813;0,462098120373297;0,725982457878719;0,462098120373297;0,725982457878719;0,174416047921516
"Thermae Himerenses";415;0;0;0;NA;0;NA;0
"Abydus";370;0;0;0;NA;0;NA;0
"Acarnanian League ";350;0;0;0;NA;0;NA;0
"Alaesa";330;0;1,09861228866811;0;NA;1,09861228866811;1;0
"Apollonia Pontica";405;1,03972077083992;1,38629436111989;0;0;0,346573590279973;0,25;1,03972077083992
"Argos";390;0;0;0;NA;0;NA;0
"Byzantium";370;1,52295506753132;1,67698777432242;0,154032706791099;0,101140677144719;0,308065413582198;0,183701645473636;1,36892236074022
"Calchedon";425;1,09861228866811;0,636514168294813;0,462098120373297;0,420619835714305;0;0;0,636514168294813
"Caria ";370;1,09861228866811;1,32966134885476;0,231049060186648;0,210309917857152;0,462098120373297;0,34753068574288;0,867563228481461
"Carthage";405;0,693147180559945;0,693147180559945;0;0;0;0;0,693147180559945
"Centuripae";415;0;0;0;NA;0;NA;0
"Cercinitis";330;0;0,693147180559945;0;NA;0,693147180559945;1;0
"Chalcedon";405;0;0;0;NA;0;NA;0
"Citium ";330;0;0;0;NA;0;NA;0
"Elaea";425;0;0,693147180559945;0;NA;0,693147180559945;1;0
"Enna";330;0;0;0;NA;0;NA;0
"Ephesus";390;0;0;0;NA;0;NA;0
"Epirote Kingdom ";330;0;0;0;NA;0;NA;0
"Euboea";415;0;0;0;NA;0;NA;0
"Heraclea ";330;0;0;0;NA;0;NA;0
"Heraclea Pontica";415;1,56071040904141;0,450561208866305;1,1101492001751;0,711310178841544;0;0;0,450561208866305
"Herbessus";330;0;0;0;NA;0;NA;0
"Hipponium";330;0;1,09861228866811;0;NA;1,09861228866811;1;0
"Lesbos";330;0;0;0;NA;0;NA;0
"Locri";330;0;0,693147180559945;0;NA;0,693147180559945;1;0
"Macedonia";425;0;0;0;NA;0;NA;0
"Metapontum";370;0;1,09861228866811;0;NA;1,09861228866811;1;0
"Morgantina";415;0;0;0;NA;0;NA;0
"Mytilene";415;0;0;0;NA;0;NA;0
"Mytistratus";330;0;0;0;NA;0;NA;0
"Olbia";370;0;1,50927342377754;0;NA;1,50927342377754;1;0
"Olympia";405;0,693147180559945;0,693147180559945;0;0;0;0;0,693147180559945
"Paeonia ";350;0;0;0;NA;0;NA;0
"Panticapaeum";425;0,633039511664468;2,36073609027385;0;0;1,72769657860939;0,731846556558115;0,633039511664468
"Petra";330;0;0;0;NA;0;NA;0
"Phaestus";330;0;0;0;NA;0;NA;0
"Philippi";350;0,693147180559945;0,693147180559945;0;0;0;0;0,693147180559945
"Phoenicia ";370;0;0;0;NA;0;NA;0
"Rhodes";330;0,562335144618808;1,38629436111989;0;0;0,823959216501082;0,594360937770434;0,562335144618808
"Salamis ";405;0;0;0;NA;0;NA;0
"Sicily ";425;0;1,09861228866811;0;NA;1,09861228866811;1;0
"Sidon ";390;0;0;0;NA;0;NA;0
"Sinope";415;0,529706199057655;1,31078367809971;0,212171389431604;0,400545415192528;0,993248868473664;0,757751935020742;0,31753480962605
"Syracuse";425;-2,22044604925031e-16;1,32966134885476;0;0;1,32966134885476;1;0
"Tarentum";415;0;1,38629436111989;0;NA;1,38629436111989;1;0
"Tarsus";390;0,796311640173813;1,94591014905531;0;0;1,1495985088815;0,59077676810494;0,796311640173813
"Thessalian League ";425;0;0;0;NA;0;NA;0
"Thrace";415;0;0;0;NA;0;NA;0
"Velia";415;0,636514168294813;1,09861228866811;0;0;0,462098120373297;0,420619835714305;0,636514168294813
"Abdera";425;0,693147180559945;0,693147180559945;0;0;0;0;0,693147180559945
"Ambracia";350;0,271189373041844;2,45831132968308;0;0;2,18712195664124;0,889684691370314;0,271189373041844
"Amphipolis";390;0;0;0;NA;0;NA;0
"Aspendus";350;0;0;0;NA;0;NA;0
"Cappadocia ";350;0;0;0;NA;0;NA;0
"Carystus";350;0;0;0;NA;0;NA;0
"Chersonesus";350;0,796311640173813;1,27703425946614;0,470833838000619;0,591268310353781;0,951556457292944;0,745129936992247;0,325477802173194
"Cierium";350;0;0;0;NA;0;NA;0
"Cilicia ";370;0;0,693147180559945;0;NA;0,693147180559945;1;0
"Clazomenae";350;0;0;0;NA;0;NA;0
"Crithote";350;0;0;0;NA;0;NA;0
"Croton";405;1,04083983742324;2,5126585295298;0,086643397569993;0,0832437368889456;1,55846208967656;0,620244283638571;0,954196439853246
"Cyprus";425;0;0;0;NA;0;NA;0
"Dionysius I and Dionysius II";350;0,955699891112534;1,94591014905531;0;0;0,990210257942779;0,508867410154317;0,955699891112534
"Dyrrhachium";405;0;0,693147180559945;0;NA;0,693147180559945;1;0
"Elis";415;0;0,693147180559945;0;NA;0,693147180559945;1;0
"Epidaurus";350;0;0;0;NA;0;NA;0
"Erythrae";350;0;0;0;NA;0;NA;0
"Heraclea";415;0,636514168294813;1,09861228866811;0;0;0,462098120373297;0,420619835714305;0,636514168294813
"Heraclea Illyricum";350;0;0;0;NA;0;NA;0
"Illyria ";350;0;0,693147180559945;0;NA;0,693147180559945;1;0
"Istrus";415;0;0;0;NA;0;NA;0
"Lampsacus";390;0;0;0;NA;0;NA;0
"Larissa";425;0;0,693147180559945;0;NA;0,693147180559945;1;0
"Locri Opuntii";370;0,693147180559945;0,693147180559945;0;0;0;0;0,693147180559945
"Lucania ";425;0;0;0;NA;0;NA;0
"Lycia";390;0,693147180559945;0,693147180559945;0;0;0;0;0,693147180559945
"Mesma";350;0;1,09861228866811;0;NA;1,09861228866811;1;0
"Molossi";350;0;0;0;NA;0;NA;0
"Nacona";415;0;0;0;NA;0;NA;0
"Olynthus";415;0;0;0;NA;0;NA;0
"Orthagoreia";350;0;0;0;NA;0;NA;0
"Peparethus";350;0;0;0;NA;0;NA;0
"Persia";425;0;0;0;NA;0;NA;0
"Pharnaceia";350;0;0,693147180559945;0;NA;0,693147180559945;1;0
"Pharos (Lesina)";350;0;0;0;NA;0;NA;0
"Phocian League ";415;0;0;0;NA;0;NA;0
"Phocis ";370;0;0;0;NA;0;NA;0
"Proconnesus";405;0;0;0;NA;0;NA;0
"Sicyon";350;0;0;0;NA;0;NA;0
"Sigeum";350;0;0,636514168294813;0;NA;0,636514168294813;1;0
"Thebes";415;0;0,693147180559945;0;NA;0,693147180559945;1;0
"Theodosia";350;0;0;0;NA;0;NA;0
"Thurium";425;1,63850644450423;1,77858608245307;0,610303632276509;0,372475576354033;0,750383270225354;0,421898764208481;1,02820281222772
"Timoleon";350;1,52269992598575;2,61563057702755;0,0924196240746595;0,0606945744840893;1,18535027511646;0,453179545126556;1,43028030191109
"Zancle-Messana";415;0,730588061371122;2,99573227355399;0;0;2,26514421218287;0,756123713784213;0,730588061371122
"Acanthus";370;0;0;0;NA;0;NA;0
"Acragas";425;0;0;0;NA;0;NA;0
"Adranum";370;0;1,03972077083992;0;NA;1,03972077083992;1;0
"Aenus";425;0,974314752869349;2,16608493924983;0,346573590279973;0,355710091897219;1,53834377666045;0,710195500086539;0,627741162589377
"Aetna";370;0;0;0;NA;0;NA;0
"Arcadia";370;0,636514168294813;1,09861228866811;0;0;0,462098120373297;0,420619835714305;0,636514168294813
"Athens ";425;0;0,693147180559945;0;NA;0,693147180559945;1;0
"Bergaeus";370;0;0;0;NA;0;NA;0
"Calabria ";415;0;0;0;NA;0;NA;0
"Consentia";370;0;0;0;NA;0;NA;0
"Corinth";425;0;0;0;NA;0;NA;0
"Cyrenaica ";370;0;0;0;NA;0;NA;0
"Cyzicus";425;0;1,6094379124341;0;NA;1,6094379124341;1;0
"Entella";415;0;0;0;NA;0;NA;0
"Halicarnassus ";370;0,693147180559945;0;0,693147180559945;1;0;NA;0
"Lamia ";370;1,09861228866811;0,636514168294813;0,462098120373297;0,420619835714305;0;0;0,636514168294813
"Maroneia";405;0;0;0;NA;0;NA;0
"Neapolis";415;0,673011667009256;1,6094379124341;0;0;0,936426245424844;0,581834339920948;0,673011667009256
"Oetaei";370;0;0;0;NA;0;NA;0
"Opus";370;0;0;0;NA;0;NA;0
"Phalanna";370;0;0;0;NA;0;NA;0
"Pherae";390;0;0;0;NA;0;NA;0
"Phlius";370;0;0;0;NA;0;NA;0
"Poseidonia";415;0;0,693147180559945;0;NA;0,693147180559945;1;0
"Pydna";370;0;0;0;NA;0;NA;0
"Samos";415;0;0;0;NA;0;NA;0
"Stymphalus";370;0;0;0;NA;0;NA;0
"Tegea";370;0,636514168294813;1,09861228866811;0;0;0,462098120373297;0,420619835714305;0,636514168294813
"Terina";415;1,17966801068413;2,55345453153065;0,235399020722814;0,1995468374075;1,60918554156934;0,630199410915191;0,944268989961311
"Thasos";425;0;0;0;NA;0;NA;0
"Tyre";370;0;0;0;NA;0;NA;0
"Zacynthus";370;0;0;0;NA;0;NA;0
"Aegina";415;0;0;0;NA;0;NA;0
"Agyrium";390;0;0;0;NA;0;NA;0
"Alexandria Troas ";390;0;0;0;NA;0;NA;0
"Aradus";390;0;0;0;NA;0;NA;0
"Boeotia";390;0;0;0;NA;0;NA;0
"Campania ";405;0;0;0;NA;0;NA;0
"Cebren";390;0;0;0;NA;0;NA;0
"Chalcidice";415;0;0;0;NA;0;NA;0
"Chios";390;0;0;0;NA;0;NA;0
"Crete ";415;0;0;0;NA;0;NA;0
"Cyrene";405;0;0;0;NA;0;NA;0
"Dardanus";390;0;0;0;NA;0;NA;0
"Hyria";415;0;0;0;NA;0;NA;0
"Mallus";390;0;0;0;NA;0;NA;0
"Mycalessus";390;0;0;0;NA;0;NA;0
"Nola";390;0;0,693147180559945;0;NA;0,693147180559945;1;0
"Orchomenus";390;0,693147180559945;0;0,693147180559945;1;0;NA;0
"Pamphylia ";390;0;0;0;NA;0;NA;0
"Pharae";390;0;0;0;NA;0;NA;0
"Tanagra";390;0;0;0;NA;0;NA;0
"Tenedos";425;0;0;0;NA;0;NA;0
"Teuthrania";390;0;0;0;NA;0;NA;0
"Thracian Chersonese ";390;0;0;0;NA;0;NA;0
"Amisus";405;0;0;0;NA;0;NA;0
"Antandrus";405;0;0;0;NA;0;NA;0
"Bithynia ";405;0;0;0;NA;0;NA;0
"Boeotian League ";405;1,79175946922805;1,12692879480068;1,01140426470735;0,564475467872424;0,346573590279973;0,307538144272259;0,780355204520703
"Bruttium ";405;0;0;0;NA;0;NA;0
"Colchis";405;0,693147180559945;0,693147180559945;0;0;0;0;0,693147180559945
"Cumae";415;0;1,03972077083992;0;NA;1,03972077083992;1;0
"Delphi";415;0;0,693147180559945;0;NA;0,693147180559945;1;0
"Mesembria";415;0;0;0;NA;0;NA;0
"Methymna";405;0;0;0;NA;0;NA;0
"Pheneos";405;0;0;0;NA;0;NA;0
"Propontis ";405;0;0;0;NA;0;NA;0
"Rhegium";425;0,693147180559945;0,693147180559945;0;0;0;0;0,693147180559945
"Sinde";405;0;0;0;NA;0;NA;0
"Soli";405;0;0;0;NA;0;NA;0
"Allifae";415;0;0;0;NA;0;NA;0
"Camarina";415;1,56071040904141;1,90728399932138;0,346573590279972;0,222061433224399;0,693147180559945;0,363421064092484;1,21413681876143
"Catana";425;0,683738905848754;1,67698777432242;0;0;0,993248868473664;0,592281520284179;0,683738905848754
"Eion";415;0;0;0;NA;0;NA;0
"Eryx";415;0,636514168294813;1,09861228866811;0;0;0,462098120373297;0,420619835714305;0,636514168294813
"Gela";415;0,803314976140875;2,21106887114461;0;0;1,40775389500373;0,636684778740058;0,803314976140875
"Heraclea Lucania";415;1,01140426470735;1,56071040904141;0;0;0,549306144334055;0,351959044517067;1,01140426470735
"Heraclea Sintica";415;0;0;0;NA;0;NA;0
"Himera";415;0,600166073159646;1,89378823239114;0;0;1,29362215923149;0,68308701950172;0,600166073159646
"Leontinoi";415;0;0;0;NA;0;NA;0
"Lipara";415;0;0;0;NA;0;NA;0
"Magnesia Ad Maeandrum ";415;0;0;0;NA;0;NA;0
"Miletus";415;0;0;0;NA;0;NA;0
"Motya";415;1,242453324894;1,79175946922805;0;0;0,549306144334055;0,306573596382729;1,242453324894
"Naxos";425;0,693147180559945;0;0,693147180559945;1;0;NA;0
"Nymphaeum";415;0,693147180559945;0;0,693147180559945;1;0;NA;0
"Panormus";415;0,562335144618808;1,03972077083992;0;0;0,47738562622111;0,459147917027245;0,562335144618808
"Pharsalus";425;0;0;0;NA;0;NA;0
"Phistelia";415;0,636514168294813;1,09861228866811;0;0;0,462098120373297;0,420619835714305;0,636514168294813
"Sardes";415;0,693147180559945;0,693147180559945;0;0;0;0;0,693147180559945
"Scione";415;0;0;0;NA;0;NA;0
"Segesta";415;1,11874333598575;2,36938211969468;0;0;1,25063878370892;0,52783330021503;1,11874333598575
"Selinus";425;1,27302833658963;2,19722457733622;0;0;0,924196240746594;0,420619835714305;1,27302833658963
"Seuthes II";415;0;0;0;NA;0;NA;0
"Tauric Chersonesus ";415;0;0;0;NA;0;NA;0
"The Sindi";415;0,636514168294813;0,636514168294813;0,462098120373297;0,725982457878719;0,462098120373297;0,725982457878719;0,174416047921516
"Thermae Himerenses";415;0;0;0;NA;0;NA;0
"Caulonia";425;0;0;0;NA;0;NA;0
"Corcyra";425;0,636514168294813;1,09861228866811;0;0;0,462098120373297;0,420619835714305;0,636514168294813
"Gargara";425;0;0;0;NA;0;NA;0
"Mende";425;0;1,88915916375402;0;NA;1,88915916375402;1;0
"Pharcadon";425;0;0;0;NA;0;NA;0
"Syria ";425;0;0,693147180559945;0;NA;0,693147180559945;1;0
"Thraco-Macedonia";425;0;0;0;NA;0;NA;0
"Troezen";425;0,693147180559945;0;0,693147180559945;1;0;NA;0
"Abydus";370;0;0;0;NA;0;NA;0
"Acarnanian League ";350;0;0;0;NA;0;NA;0
"Alaesa";330;0;1,09861228866811;0;NA;1,09861228866811;1;0
"Apollonia Pontica";405;1,03972077083992;1,38629436111989;0;0;0,346573590279973;0,25;1,03972077083992
"Argos";390;0;0;0;NA;0;NA;0
"Byzantium";370;1,52295506753132;1,67698777432242;0,154032706791099;0,101140677144719;0,308065413582198;0,183701645473636;1,36892236074022
"Calchedon";425;1,09861228866811;0,636514168294813;0,462098120373297;0,420619835714305;0;0;0,636514168294813
"Caria ";370;1,09861228866811;1,32966134885476;0,231049060186648;0,210309917857152;0,462098120373297;0,34753068574288;0,867563228481461
"Carthage";405;0,693147180559945;0,693147180559945;0;0;0;0;0,693147180559945
"Centuripae";415;0;0;0;NA;0;NA;0
"Cercinitis";330;0;0,693147180559945;0;NA;0,693147180559945;1;0
"Chalcedon";405;0;0;0;NA;0;NA;0
"Citium ";330;0;0;0;NA;0;NA;0
"Elaea";425;0;0,693147180559945;0;NA;0,693147180559945;1;0
"Enna";330;0;0;0;NA;0;NA;0
"Ephesus";390;0;0;0;NA;0;NA;0
"Epirote Kingdom ";330;0;0;0;NA;0;NA;0
"Euboea";415;0;0;0;NA;0;NA;0
"Heraclea ";330;0;0;0;NA;0;NA;0
"Heraclea Pontica";415;1,56071040904141;0,450561208866305;1,1101492001751;0,711310178841544;0;0;0,450561208866305
"Herbessus";330;0;0;0;NA;0;NA;0
"Hipponium";330;0;1,09861228866811;0;NA;1,09861228866811;1;0
"Lesbos";435;0,693147180559945;1,38629436111989;0;0;0,693147180559945;0,5;0,693147180559945
"Locri";330;0;0,693147180559945;0;NA;0,693147180559945;1;0
"Macedonia";435;1,09861228866811;1,09861228866811;0;0;0;0;1,09861228866811
"Metapontum";435;0;1,6094379124341;0;NA;1,6094379124341;1;0
"Morgantina";415;0;0;0;NA;0;NA;0
"Mytilene";415;0;0;0;NA;0;NA;0
"Mytistratus";330;0;0;0;NA;0;NA;0
"Olbia";435;1,03972077083992;1,03972077083992;0;0;0;0;1,03972077083992
"Olympia";435;0;0;0;NA;0;NA;0
"Paeonia ";350;0;0;0;NA;0;NA;0
